element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,GW,minutes_played,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,price,transfers_balance,selected,transfers_in,transfers_out,code,id,web_name,element_type,team,team_code,dreamteam_count,news,value_season,full_name,id_position,plural_name,plural_name_short,singular_name,singular_name_short,code_team,id_team,team_name,short_name,strength,strength_overall_away,strength_overall_home,strength_attack_away,strength_attack_home,strength_defence_away,strength_defence_home,id_gameweek,gw_name,deadline_time,highest_score,average_entry_score,most_selected,most_transferred_in,top_element,most_captained,most_vice_captained
1,2,20,0,True,2024-08-17 14:00:00+00:00,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.5,0,2923,0,0,438098,1,Fábio Vieira,3,1,3,0,Has joined Portuguese side FC Porto on loan for the 2024/25 season,0.0,Fábio Ferreira Vieira,3,Midfielders,MID,Midfielder,MID,3,1,Arsenal,ARS,5,1375,1350,1360,1360,1390,1340,1,Gameweek 1,2024-08-16 17:30:00+00:00,127.0,57,401.0,27.0,328.0,351.0,351.0
1,11,2,0,False,2024-08-24 16:30:00+00:00,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.5,-790,2321,84,874,438098,1,Fábio Vieira,3,1,3,0,Has joined Portuguese side FC Porto on loan for the 2024/25 season,0.0,Fábio Ferreira Vieira,3,Midfielders,MID,Midfielder,MID,3,1,Arsenal,ARS,5,1375,1350,1360,1360,1390,1340,2,Gameweek 2,2024-08-24 10:00:00+00:00,154.0,69,401.0,594.0,177.0,351.0,401.0
1,21,5,0,True,2024-08-31 11:30:00+00:00,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.4,-279,2397,355,634,438098,1,Fábio Vieira,3,1,3,0,Has joined Portuguese side FC Porto on loan for the 2024/25 season,0.0,Fábio Ferreira Vieira,3,Midfielders,MID,Midfielder,MID,3,1,Arsenal,ARS,5,1375,1350,1360,1360,1390,1340,3,Gameweek 3,2024-08-31 10:00:00+00:00,130.0,64,351.0,177.0,328.0,351.0,328.0
1,39,18,0,False,2024-09-15 13:00:00+00:00,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.4,-747,1650,0,747,438098,1,Fábio Vieira,3,1,3,0,Has joined Portuguese side FC Porto on loan for the 2024/25 season,0.0,Fábio Ferreira Vieira,3,Midfielders,MID,Midfielder,MID,3,1,Arsenal,ARS,5,1375,1350,1360,1360,1390,1340,4,Gameweek 4,2024-09-14 10:00:00+00:00,120.0,51,351.0,129.0,185.0,351.0,328.0
1,47,13,0,False,2024-09-22 15:30:00+00:00,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.4,-174,1494,0,174,438098,1,Fábio Vieira,3,1,3,0,Has joined Portuguese side FC Porto on loan for the 2024/25 season,0.0,Fábio Ferreira Vieira,3,Midfielders,MID,Midfielder,MID,3,1,Arsenal,ARS,5,1375,1350,1360,1360,1390,1340,5,Gameweek 5,2024-09-21 10:00:00+00:00,131.0,58,351.0,58.0,180.0,351.0,351.0
1,51,11,0,True,2024-09-28 14:00:00+00:00,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.4,-110,1387,0,110,438098,1,Fábio Vieira,3,1,3,0,Has joined Portuguese side FC Porto on loan for the 2024/25 season,0.0,Fábio Ferreira Vieira,3,Midfielders,MID,Midfielder,MID,3,1,Arsenal,ARS,5,1375,1350,1360,1360,1390,1340,6,Gameweek 6,2024-09-28 10:00:00+00:00,142.0,50,351.0,327.0,182.0,351.0,328.0
1,61,17,0,True,2024-10-05 14:00:00+00:00,3,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.4,-75,1312,0,75,438098,1,Fábio Vieira,3,1,3,0,Has joined Portuguese side FC Porto on loan for the 2024/25 season,0.0,Fábio Ferreira Vieira,3,Midfielders,MID,Midfielder,MID,3,1,Arsenal,ARS,5,1375,1350,1360,1360,1390,1340,7,Gameweek 7,2024-10-05 10:00:00+00:00,130.0,46,351.0,182.0,512.0,351.0,328.0
2,2,20,0,True,2024-08-17 14:00:00+00:00,2,0,1,5,0,0,0,0,0,0,0,1,0,0,0,1.0,0.2,0.8,0.0,0.1,0,0.0,0.0,0.0,0.15,7.0,0,199810,0,0,205651,2,G.Jesus,4,1,3,0,No news,0.4,Gabriel Fernando de Jesus,4,Forwards,FWD,Forward,FWD,3,1,Arsenal,ARS,5,1375,1350,1360,1360,1390,1340,1,Gameweek 1,2024-08-16 17:30:00+00:00,127.0,57,401.0,27.0,328.0,351.0,351.0
2,11,2,0,False,2024-08-24 16:30:00+00:00,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.9,-53975,176166,12170,66145,205651,2,G.Jesus,4,1,3,0,No news,0.4,Gabriel Fernando de Jesus,4,Forwards,FWD,Forward,FWD,3,1,Arsenal,ARS,5,1375,1350,1360,1360,1390,1340,2,Gameweek 2,2024-08-24 10:00:00+00:00,154.0,69,401.0,594.0,177.0,351.0,401.0
2,21,5,0,True,2024-08-31 11:30:00+00:00,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.8,-72583,106691,3238,75821,205651,2,G.Jesus,4,1,3,0,No news,0.4,Gabriel Fernando de Jesus,4,Forwards,FWD,Forward,FWD,3,1,Arsenal,ARS,5,1375,1350,1360,1360,1390,1340,3,Gameweek 3,2024-08-31 10:00:00+00:00,130.0,64,351.0,177.0,328.0,351.0,328.0
2,39,18,1,False,2024-09-15 13:00:00+00:00,0,1,4,10,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.13,6.8,-27513,82577,1997,29510,205651,2,G.Jesus,4,1,3,0,No news,0.4,Gabriel Fernando de Jesus,4,Forwards,FWD,Forward,FWD,3,1,Arsenal,ARS,5,1375,1350,1360,1360,1390,1340,4,Gameweek 4,2024-09-14 10:00:00+00:00,120.0,51,351.0,129.0,185.0,351.0,328.0
2,47,13,0,False,2024-09-22 15:30:00+00:00,2,2,5,3,0,0,0,1,0,0,0,1,0,0,0,3.0,10.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.69,6.8,1642,89599,7682,6040,205651,2,G.Jesus,4,1,3,0,No news,0.4,Gabriel Fernando de Jesus,4,Forwards,FWD,Forward,FWD,3,1,Arsenal,ARS,5,1375,1350,1360,1360,1390,1340,5,Gameweek 5,2024-09-21 10:00:00+00:00,131.0,58,351.0,58.0,180.0,351.0,351.0
2,51,11,1,True,2024-09-28 14:00:00+00:00,4,2,6,1,0,0,0,0,0,0,0,0,0,0,0,4.0,2.0,0.0,17.0,1.9,0,0.11,0.0,0.11,0.0,6.8,2362,95619,10600,8238,205651,2,G.Jesus,4,1,3,0,No news,0.4,Gabriel Fernando de Jesus,4,Forwards,FWD,Forward,FWD,3,1,Arsenal,ARS,5,1375,1350,1360,1360,1390,1340,6,Gameweek 6,2024-09-28 10:00:00+00:00,142.0,50,351.0,327.0,182.0,351.0,328.0
2,61,17,1,True,2024-10-05 14:00:00+00:00,3,1,7,59,0,0,0,1,0,0,0,0,0,0,0,9.0,1.8,31.5,16.0,4.9,1,0.38,0.06,0.44,0.32,6.8,-1821,97477,6898,8719,205651,2,G.Jesus,4,1,3,0,No news,0.4,Gabriel Fernando de Jesus,4,Forwards,FWD,Forward,FWD,3,1,Arsenal,ARS,5,1375,1350,1360,1360,1390,1340,7,Gameweek 7,2024-10-05 10:00:00+00:00,130.0,46,351.0,182.0,512.0,351.0,328.0
