element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,GW,minutes_played,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,Cost,transfers_balance,selected,transfers_in,transfers_out
1,2,20,0,True,2024-08-17 14:00:00+00:00,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,5.5,0,2923,0,0
1,11,2,0,False,2024-08-24 16:30:00+00:00,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,5.5,-790,2321,84,874
1,21,5,0,True,2024-08-31 11:30:00+00:00,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,5.4,-279,2397,355,634
1,39,18,0,False,2024-09-15 13:00:00+00:00,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,5.4,-747,1650,0,747
1,47,13,0,False,2024-09-22 15:30:00+00:00,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,5.4,-174,1494,0,174
1,51,11,0,True,2024-09-28 14:00:00+00:00,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,5.4,-110,1387,0,110
1,61,17,0,True,2024-10-05 14:00:00+00:00,3,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,5.4,-75,1312,0,75
2,2,20,0,True,2024-08-17 14:00:00+00:00,2,0,1,5,0,0,0,0,0,0,0,1,0,0,0,1.0,0.2,0.8,0.0,0.1,0,0.00,0.00,0.00,0.15,7.0,0,199810,0,0
2,11,2,0,False,2024-08-24 16:30:00+00:00,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,6.9,-53975,176166,12170,66145
2,21,5,0,True,2024-08-31 11:30:00+00:00,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,6.8,-72583,106691,3238,75821
