code,id,team_name,short_name,strength,strength_overall_away,strength_overall_home,strength_attack_away,strength_attack_home,strength_defence_away,strength_defence_home
3,1,Arsenal,ARS,5,1375,1350,1360,1360,1390,1340
7,2,Aston Villa,AVL,3,1220,1160,1140,1120,1300,1200
91,3,Bournemouth,BOU,3,1145,1100,1130,1070,1160,1130
94,4,Brentford,BRE,3,1155,1090,1120,1080,1190,1100
36,5,Brighton,BHA,3,1175,1100,1130,1070,1220,1130
8,6,Chelsea,CHE,4,1230,1225,1130,1130,1330,1320
31,7,Crystal Palace,CRY,3,1095,1095,1100,1100,1090,1090
11,8,Everton,EVE,3,1100,1080,1100,1080,1100,1080
54,9,Fulham,FUL,3,1160,1100,1140,1100,1180,1100
40,10,Ipswich,IPS,3,1090,1060,1080,1070,1100,1050
13,11,Leicester,LEI,3,1100,1075,1120,1060,1080,1090
14,12,Liverpool,LIV,5,1365,1350,1370,1360,1360,1340
43,13,Man City,MCI,5,1370,1355,1350,1350,1390,1360
1,14,Man Utd,MUN,3,1155,1125,1140,1130,1170,1120
4,15,Newcastle,NEW,3,1220,1115,1130,1100,1310,1130
17,16,Nott'm Forest,NFO,3,1100,1130,1130,1140,1070,1120
20,17,Southampton,SOU,2,1065,1060,1070,1060,1060,1060
6,18,Spurs,TOT,4,1260,1220,1170,1110,1350,1330
21,19,West Ham,WHU,3,1100,1100,1070,1080,1130,1120
39,20,Wolves,WOL,3,1090,1075,1060,1060,1120,1090
